cluster,xGeo,yGeo,conf
325,757181.0695511763,6267043.0334931305,0.411410927772522
326,757183.9659760064,6267043.4465127885,0.7199773192405701
327,757186.2864618365,6267041.66030757,0.6638122797012329
328,757223.5633501885,6267044.105876653,0.3302477896213531
329,757349.8806340164,6267045.561139786,0.2823244929313659
330,757360.3862807816,6267045.401413894,0.5591551065444946
331,757505.3306570385,6267043.13968828,0.6202625036239624
332,757527.7065027317,6267044.524292439,0.6087688207626343
333,757594.6261600321,6267040.831490426,0.3130950033664703
334,757660.4603100484,6267045.322845957,0.3414840698242187
335,757715.4250106877,6267041.984527676,0.2750991880893707
336,757190.7594099494,6267038.855301858,0.8169266581535339
337,757252.6400033301,6267042.679070427,0.271849513053894
338,757260.9646739541,6267038.47149518,0.2827938795089721
339,757363.9027527636,6267042.910105015,0.3152659833431244
340,757554.9908151394,6267042.146149098,0.452325701713562
341,757560.3896687919,6267038.483735552,0.7736645340919495
342,757623.0813858351,6267039.8821411785,0.4228603541851043
343,757620.7447072671,6267036.560413,0.575188934803009
344,757183.9376034868,6267035.007919776,0.768517255783081
345,757210.5359829424,6267035.160253776,0.4397091567516327
346,757208.3952531037,6267033.6881011175,0.3472173511981964
347,757555.913693971,6267035.0981720975,0.3828187584877014
348,757668.1880340641,6267038.065908697,0.3031357526779175
349,757723.5292134909,6267033.469634025,0.6597883105278015
350,757211.0060539385,6267030.912703543,0.2882263958454132
351,757218.9080373746,6267032.218280143,0.5470693111419678
352,757289.4506381964,6267031.556317961,0.7211843729019165
353,757590.8518204754,6267035.557245861,0.2718394100666046
354,757687.8426768546,6267030.82132755,0.2742969691753387
355,757487.7860496109,6267028.386041789,0.3071012496948242
356,757605.9691894716,6267033.0707639055,0.2799215316772461
357,757668.4479657663,6267028.51724562,0.3222953379154205
358,757585.3751097263,6267025.833009389,0.3575533926486969
359,757182.9609150356,6267023.794671564,0.251570850610733
360,757678.4968507579,6267028.003162469,0.2861275374889374
361,757697.8460753625,6267020.784375935,0.2874684631824493
362,757232.2788104516,6267018.864443598,0.4666256606578827
363,757360.8781737564,6267018.4970202735,0.3017716109752655
364,757480.808418075,6267019.241871977,0.4720247089862823
365,757542.3992388994,6267019.607900538,0.7509899735450745
366,757250.305905723,6267015.861537548,0.6483263373374939
367,757540.3092820114,6267015.784443884,0.2791187167167663
368,757600.4775316184,6267016.684431105,0.337438017129898
369,757603.1523340348,6267017.957911472,0.5212267637252808
370,757638.4321235968,6267015.873524814,0.2589181661605835
371,757163.0002061194,6267013.3903687885,0.5563748478889465
372,757281.8617184376,6267018.054294313,0.2512274086475372
373,757400.5925676888,6267018.00639373,0.2907035052776336
374,757619.8029806014,6267013.485069011,0.4913071691989898
375,757217.2984672631,6267012.550083011,0.5437054634094238
376,757232.0026835714,6267011.870930164,0.3565998077392578
377,757384.5471767252,6267015.518513254,0.2866131365299225
378,757446.6657551294,6267012.164172513,0.7173910140991211
379,757635.5194327307,6267011.678823061,0.6481897830963135
380,757280.414889968,6267013.010641231,0.2676158845424652
381,757603.1780580459,6267010.409329565,0.2995728254318237
382,757642.5877300566,6267010.7570376685,0.3080412149429321
383,757211.5812680786,6267005.960860818,0.2834585607051849
