                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.7792,                 1.8872,                 1.3789,                0.75395,                0.47059,                0.47722,                0.15943,                  1.082,                 1.5187,                0.77415,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.9617,                 1.9727,                 1.4781,                0.65476,                0.41176,                0.41198,                0.10874,                 1.2023,                 1.6351,                0.87376,                0.00101,                0.00101,                0.00101
                     53,                 1.8558,                 1.7903,                 1.4111,                0.61171,                0.41176,                0.38104,                0.09129,                 1.3055,                 1.8063,                0.93863,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.9554,                  1.928,                 1.4807,                0.67982,                0.52941,                0.50265,                0.19305,                0.94344,                 1.5918,                0.70669,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.9339,                 1.9529,                 1.4408,                0.45215,                 0.5828,                0.30717,                0.10691,                  1.193,                 1.6795,                0.84169,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.8586,                  1.867,                 1.3982,                0.38141,                0.52941,                0.26162,                0.09766,                  1.272,                 1.8136,                0.87625,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8511,                 1.7472,                 1.3767,                0.53159,                0.40125,                0.32088,                0.10917,                 1.2245,                 2.0424,                0.83985,               0.000911,               0.000911,               0.000911
                     58,                 1.8512,                 1.7998,                 1.3768,                0.56889,                0.58824,                0.53455,                0.18424,                 1.1393,                 2.4946,                0.82527,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9192,                 1.9734,                 1.4439,                0.69008,                0.64706,                  0.666,                0.25786,                 1.0321,                 2.4947,                0.76041,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.852,                 1.9432,                 1.4256,                0.77504,                0.52941,                0.61898,                0.26499,                  1.123,                 2.7873,                0.79649,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.9161,                 2.0886,                 1.4419,                0.85453,                0.52941,                0.60446,                0.21688,                 1.1743,                 2.4423,                0.82774,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.8506,                  1.949,                 1.4146,                0.85847,                0.52941,                0.58588,                0.17865,                  1.139,                 2.7169,                0.79852,               0.000812,               0.000812,               0.000812
                     63,                 1.8068,                  1.852,                 1.3694,                 0.9795,                0.52941,                0.58499,                0.17716,                 1.0948,                 2.6797,                0.75907,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.8625,                 1.8821,                 1.3983,                 0.8497,                0.47059,                0.58424,                0.19302,                 1.0234,                 2.0381,                0.73502,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.7968,                 1.8103,                 1.3762,                0.39316,                0.52941,                 0.3498,                 0.0905,                   1.44,                 1.8576,                  1.032,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.8158,                 1.7313,                 1.3736,                0.83566,                0.47059,                0.56939,                0.19467,                 1.0958,                 2.5313,                0.76896,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.8684,                 1.8094,                 1.3871,                0.89855,                0.52941,                0.61785,                0.18177,                 1.1136,                 2.7502,                0.78328,               0.000713,               0.000713,               0.000713
                     68,                 1.8655,                 1.7614,                  1.383,                0.92569,                0.52941,                0.58816,                0.17584,                 1.2209,                 2.0256,                0.84422,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.7593,                 1.7934,                 1.3916,                0.94208,                0.52941,                0.61888,                0.20315,                 1.0924,                 1.6539,                0.77694,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.8842,                 1.8927,                 1.4149,                0.83188,                0.58259,                0.63716,                0.16153,                 1.1018,                 1.6979,                0.79589,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.8106,                 2.0004,                 1.3616,                 0.6455,                0.52941,                0.54596,                0.12434,                 1.2444,                 1.8228,                0.88256,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.8431,                 1.8577,                  1.365,                0.86026,                0.52941,                0.58479,                0.17191,                 1.1449,                 1.9025,                0.80428,               0.000614,               0.000614,               0.000614
                     73,                 1.8327,                 1.7764,                 1.3947,                0.87866,                0.52941,                0.60019,                0.20256,                 1.1058,                  1.854,                0.77701,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.7192,                 1.7334,                 1.3258,                0.88486,                0.52941,                 0.6322,                0.21879,                 1.0818,                 1.7727,                0.76904,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.7447,                 1.7238,                 1.3797,                0.75816,                0.47059,                0.51569,                0.11356,                 1.3213,                 1.7444,                0.93691,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.7968,                  1.782,                 1.3841,                0.23407,                0.41176,                0.17459,                0.05327,                 1.4904,                 1.9262,                 1.0653,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.8306,                 1.8575,                 1.3831,                0.32216,                0.58824,                0.32096,                 0.0917,                 1.2868,                 1.8051,                0.90359,               0.000515,               0.000515,               0.000515
                     78,                 1.8774,                 2.0354,                 1.4214,                0.53371,                0.52941,                0.42749,                0.11396,                 1.1951,                 1.7119,                0.85072,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.8786,                 1.8353,                  1.406,                0.85637,                0.52941,                0.60631,                0.16195,                 1.1591,                 1.7248,                0.82272,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.7722,                 1.8341,                 1.3741,                0.85212,                0.52941,                0.61225,                0.19757,                 1.1064,                 1.6816,                 0.8005,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.7102,                  1.671,                 1.3299,                0.85824,                0.52941,                0.60745,                0.16009,                 1.1698,                 1.7306,                0.83635,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.8097,                 1.8298,                 1.3636,                0.76549,                0.47059,                0.50625,                0.11254,                 1.2889,                 1.8086,                0.92331,               0.000416,               0.000416,               0.000416
                     83,                 1.7673,                 1.8072,                 1.3412,                0.75456,                0.47059,                0.48413,                0.13844,                 1.1767,                 1.9347,                0.82923,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.8383,                 1.7913,                  1.359,                0.70226,                0.41664,                0.48344,                0.13725,                 1.1833,                 1.9734,                0.81887,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.7804,                 1.8169,                 1.3833,                0.64177,                0.52941,                0.47098,                0.13322,                 1.2196,                 1.9898,                0.83479,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.754,                 1.7225,                 1.3384,                0.73115,                0.41176,                0.48382,                0.15933,                 1.1799,                 1.9554,                 0.8083,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.7841,                 1.7256,                 1.3512,                0.69715,                0.47059,                0.50398,                0.17208,                 1.1362,                 1.8021,                0.78315,               0.000317,               0.000317,               0.000317
                     88,                 1.7986,                 1.8498,                 1.3815,                0.74092,                0.47059,                0.50886,                0.15454,                 1.1987,                 1.6156,                0.83963,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.7168,                 1.6482,                 1.3496,                0.72998,                0.47059,                0.50717,                0.14821,                 1.1724,                 1.6205,                0.82089,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.6984,                 1.7162,                 1.3226,                0.80896,                0.52941,                0.58958,                0.16605,                 1.1104,                 1.5769,                0.79188,              0.0002576,              0.0002576,              0.0002576
                     91,                  1.521,                 1.6416,                 1.3384,                0.80487,                0.52941,                0.63408,                0.20657,                 1.0912,                 1.6472,                0.77753,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.5176,                 1.4723,                 1.3189,                0.65712,                0.56464,                0.62998,                0.22687,                 1.0888,                  1.753,                0.77068,               0.000218,               0.000218,               0.000218
                     93,                 1.4858,                 1.4489,                 1.3105,                0.65959,                0.57076,                0.62205,                0.24549,                 1.0474,                 1.8448,                 0.7469,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.5136,                 1.4175,                  1.357,                0.85024,                0.47059,                0.60068,                0.29071,                 1.0062,                 1.9148,                0.72105,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.4712,                 1.3234,                  1.346,                0.80662,                0.49201,                0.59188,                0.29527,                0.95665,                 1.8136,                0.70603,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.4443,                 1.3251,                 1.3137,                0.73472,                0.52941,                0.59803,                0.27831,                0.99618,                 1.7184,                 0.7274,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.6379,                 1.3963,                 1.4064,                0.76587,                0.57796,                0.60595,                0.28675,                 1.0035,                 1.6435,                0.73897,               0.000119,               0.000119,               0.000119
                     98,                 1.4944,                  1.414,                 1.3087,                0.80199,                0.52941,                0.58976,                0.27396,                0.97976,                 1.5476,                0.72624,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.5595,                 1.3829,                 1.3146,                0.81726,                0.52642,                0.58081,                0.27869,                0.99114,                 1.4219,                0.73882,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                  1.439,                 1.2661,                 1.2778,                0.66218,                0.52941,                0.58514,                0.27724,                0.99557,                 1.3311,                0.74549,               5.96e-05,               5.96e-05,               5.96e-05
