                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.9161,                 1.7941,                 1.1423,                0.83434,                    0.6,                0.71633,                0.22512,                 1.4113,                 2.3951,                0.65332,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.9021,                 1.7886,                 1.1407,                0.84909,                    0.6,                0.70768,                0.24335,                 1.3713,                 2.4054,                  0.631,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.8766,                 1.7593,                 1.1476,                0.90837,                    0.6,                0.69709,                0.30809,                 1.2548,                  2.532,                0.59467,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.8067,                 1.7027,                 1.1262,                0.79507,                   0.65,                0.65836,                0.24997,                 1.3382,                 2.9036,                0.62812,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.7458,                 1.6443,                 1.0956,                0.67124,                   0.65,                0.63354,                0.21633,                 1.3978,                 3.3976,                 0.6539,               0.000515,               0.000515,               0.000515
                     78,                  2.069,                 1.8974,                 1.1834,                0.79551,                0.58427,                 0.6201,                0.20864,                 1.3676,                 3.6413,                0.63861,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.8885,                 1.7697,                 1.1307,                0.68355,                   0.65,                0.68193,                0.24694,                 1.2874,                 3.4209,                 0.6079,              0.0004754,              0.0004754,              0.0004754
                     80,                 2.0039,                 1.8103,                 1.1452,                0.80615,                    0.6,                 0.6633,                0.26951,                 1.2044,                 3.1554,                0.58071,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.8646,                 1.6757,                 1.1284,                0.75452,                   0.55,                0.61892,                  0.273,                 1.1809,                 3.1061,                0.57097,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.8648,                  1.717,                 1.1177,                0.86179,                   0.65,                0.67148,                 0.2892,                 1.1781,                 3.0323,                0.57114,               0.000416,               0.000416,               0.000416
                     83,                 1.8305,                  1.722,                 1.1065,                0.85316,                 0.5819,                0.63898,                0.24142,                 1.2194,                 2.8997,                0.59161,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.8519,                 1.5435,                 1.1046,                0.66953,                   0.65,                0.62236,                0.20221,                 1.2644,                 2.7712,                0.61445,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.7414,                 1.7016,                 1.0879,                0.71871,                0.63926,                 0.6276,                0.19558,                 1.2854,                 2.7995,                0.62151,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.9472,                 1.8312,                 1.1545,                0.81946,                0.68156,                0.70977,                0.20937,                 1.2961,                 2.8154,                0.62075,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.8278,                 1.6678,                 1.1016,                0.80965,                    0.7,                0.74865,                0.22971,                 1.2427,                 2.5165,                0.59579,               0.000317,               0.000317,               0.000317
                     88,                 1.8965,                 1.7401,                 1.1278,                0.77096,                    0.7,                0.72079,                0.27589,                 1.1935,                 2.1803,                 0.5725,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.8477,                 1.6826,                 1.1218,                0.73578,                    0.7,                0.71321,                0.26883,                 1.1689,                 2.0915,                0.56451,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.8182,                 1.6821,                 1.0941,                0.68743,                   0.65,                0.70181,                0.28637,                 1.1513,                 1.9241,                0.55782,              0.0002576,              0.0002576,              0.0002576
                     91,                  1.581,                 1.3224,                 1.0301,                0.72955,                    0.7,                0.68918,                0.33086,                 1.0761,                 2.0067,                0.53371,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.502,                 1.2595,                  1.017,                0.73638,                    0.7,                0.68141,                0.32921,                 1.0307,                 2.0066,                0.52276,               0.000218,               0.000218,               0.000218
                     93,                 1.4943,                 1.2469,                 1.0001,                0.75376,                    0.7,                0.69747,                0.34179,                 1.0378,                 2.0068,                0.52421,              0.0001982,              0.0001982,              0.0001982
                     94,                  1.593,                 1.2451,                 1.0494,                0.75464,                    0.7,                0.71338,                0.33647,                 1.0773,                 1.9772,                0.53727,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5674,                  1.284,                 1.0397,                 0.8361,                    0.7,                0.72737,                0.33928,                 1.1347,                 1.8916,                0.55675,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.5531,                 1.2294,                 1.0554,                0.89479,                    0.7,                0.74904,                0.30388,                  1.181,                  1.845,                0.57634,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.4743,                 1.1734,                 1.0316,                0.92031,                    0.7,                 0.7515,                 0.3035,                 1.1978,                 1.8356,                 0.5839,               0.000119,               0.000119,               0.000119
                     98,                 1.6326,                 1.2501,                 1.0383,                0.95114,                    0.7,                0.75773,                0.29585,                 1.2192,                 1.7972,                0.59363,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.6084,                  1.228,                 1.0359,                0.95673,                    0.7,                0.75204,                0.30408,                 1.2069,                 1.7223,                0.59082,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.5415,                 1.1646,                 1.0191,                0.96426,                    0.7,                0.76098,                0.32175,                 1.1835,                 1.6658,                0.58432,               5.96e-05,               5.96e-05,               5.96e-05
